,runtime,training_steps,i_fps,t_fps,actors,envs,prefetchers,inferencers,storers,used_gpus,total_envs,setup
656,252.57889199256897,197440.0,815.0,781.0,4.0,64.0,1.0,1.0,2.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
655,260.74071073532104,197440.0,789.0,757.0,4.0,32.0,1.0,1.0,2.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,263.5678186416626,197440.0,759.0,749.0,2.0,16.0,1.0,1.0,2.0,1.0,32.0,"02 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
655,263.788560628891,197760.0,761.0,749.0,4.0,16.0,1.0,1.0,2.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
655,266.8806390762329,197760.0,752.0,741.0,4.0,16.0,2.0,1.0,2.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 1 inferencers, 02 storers"
651,270.84442329406744,197440.0,756.0,728.0,2.0,64.0,1.0,1.0,2.0,1.0,128.0,"02 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,273.06714248657227,197440.0,733.0,723.0,4.0,8.0,2.0,1.0,2.0,1.0,32.0,"04 actors, 08 envs, 2 prefetchers, 1 inferencers, 02 storers"
651,274.2257924079895,197440.0,749.0,719.0,4.0,32.0,2.0,2.0,2.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 2 inferencers, 02 storers"
644,276.3524837493896,197440.0,740.0,714.0,4.0,32.0,1.0,2.0,2.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 2 inferencers, 02 storers"
657,277.5354609489441,197440.0,740.0,711.0,2.0,64.0,2.0,1.0,2.0,1.0,128.0,"02 actors, 64 envs, 2 prefetchers, 1 inferencers, 02 storers"
657,280.3143858909607,197440.0,737.0,704.0,4.0,64.0,2.0,1.0,1.0,1.0,256.0,"04 actors, 64 envs, 2 prefetchers, 1 inferencers, 01 storers"
630,280.8362107276916,197440.0,718.0,703.0,4.0,16.0,2.0,2.0,2.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 2 inferencers, 02 storers"
657,283.91171193122864,197440.0,727.0,695.0,4.0,64.0,1.0,1.0,1.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 1 inferencers, 01 storers"
656,284.83910465240484,197760.0,704.0,694.0,4.0,16.0,1.0,1.0,1.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 1 inferencers, 01 storers"
656,284.8384041786194,197440.0,722.0,693.0,4.0,32.0,2.0,1.0,4.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 1 inferencers, 04 storers"
657,287.3386054039001,197440.0,715.0,687.0,2.0,64.0,1.0,2.0,2.0,1.0,128.0,"02 actors, 64 envs, 1 prefetchers, 2 inferencers, 02 storers"
656,287.10307550430304,197440.0,716.0,687.0,4.0,32.0,1.0,1.0,4.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 1 inferencers, 04 storers"
655,288.2916264533997,197440.0,713.0,684.0,4.0,32.0,2.0,1.0,2.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
657,290.63510060310364,197440.0,707.0,679.0,4.0,32.0,2.0,1.0,1.0,1.0,128.0,"04 actors, 32 envs, 2 prefetchers, 1 inferencers, 01 storers"
655,291.4246108531952,197760.0,688.0,678.0,2.0,32.0,2.0,2.0,2.0,1.0,64.0,"02 actors, 32 envs, 2 prefetchers, 2 inferencers, 02 storers"
655,293.16910266876215,197440.0,685.0,673.0,8.0,8.0,2.0,1.0,2.0,1.0,64.0,"08 actors, 08 envs, 2 prefetchers, 1 inferencers, 02 storers"
617,296.7992849349976,197440.0,674.0,665.0,4.0,8.0,1.0,2.0,2.0,1.0,32.0,"04 actors, 08 envs, 1 prefetchers, 2 inferencers, 02 storers"
657,296.85303783416754,197440.0,693.0,665.0,2.0,64.0,2.0,1.0,1.0,1.0,128.0,"02 actors, 64 envs, 2 prefetchers, 1 inferencers, 01 storers"
657,297.12418031692505,197440.0,692.0,664.0,2.0,64.0,2.0,2.0,2.0,1.0,128.0,"02 actors, 64 envs, 2 prefetchers, 2 inferencers, 02 storers"
655,298.41165280342096,197760.0,673.0,662.0,4.0,16.0,1.0,1.0,4.0,1.0,64.0,"04 actors, 16 envs, 1 prefetchers, 1 inferencers, 04 storers"
661,297.6384570598603,197120.0,691.0,662.0,8.0,64.0,2.0,1.0,2.0,1.0,512.0,"08 actors, 64 envs, 2 prefetchers, 1 inferencers, 02 storers"
656,298.9027571678162,197120.0,688.0,659.0,8.0,16.0,2.0,1.0,2.0,1.0,128.0,"08 actors, 16 envs, 2 prefetchers, 1 inferencers, 02 storers"
661,299.26038193702703,197120.0,689.0,658.0,8.0,64.0,1.0,1.0,2.0,1.0,512.0,"08 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
656,300.44440054893494,197760.0,668.0,658.0,4.0,16.0,2.0,1.0,1.0,1.0,64.0,"04 actors, 16 envs, 2 prefetchers, 1 inferencers, 01 storers"
643,300.22526407241816,197440.0,683.0,657.0,4.0,32.0,1.0,2.0,4.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 2 inferencers, 04 storers"
662,300.30513501167303,197120.0,685.0,656.0,8.0,32.0,1.0,1.0,2.0,1.0,256.0,"08 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
660,300.8272409439087,197120.0,684.0,655.0,8.0,32.0,2.0,1.0,2.0,1.0,256.0,"08 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
656,300.7545461654663,197120.0,683.0,655.0,8.0,16.0,1.0,1.0,2.0,1.0,128.0,"08 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
658,301.5123827457428,197440.0,680.0,654.0,2.0,64.0,1.0,1.0,1.0,1.0,128.0,"02 actors, 64 envs, 1 prefetchers, 1 inferencers, 01 storers"
616,301.71278333663935,197440.0,657.0,654.0,2.0,8.0,1.0,1.0,2.0,1.0,16.0,"02 actors, 08 envs, 1 prefetchers, 1 inferencers, 02 storers"
657,302.3081612586975,197440.0,680.0,653.0,4.0,32.0,1.0,1.0,1.0,1.0,128.0,"04 actors, 32 envs, 1 prefetchers, 1 inferencers, 01 storers"
661,302.92014122009283,197120.0,683.0,650.0,16.0,32.0,2.0,1.0,2.0,1.0,512.0,"16 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
656,302.840117931366,197120.0,680.0,650.0,4.0,64.0,1.0,2.0,2.0,1.0,256.0,"04 actors, 64 envs, 1 prefetchers, 2 inferencers, 02 storers"
617,303.64550042152405,197440.0,660.0,650.0,2.0,16.0,2.0,1.0,1.0,1.0,32.0,"02 actors, 16 envs, 2 prefetchers, 1 inferencers, 01 storers"
617,303.6749057769776,197440.0,660.0,650.0,4.0,8.0,1.0,1.0,2.0,1.0,32.0,"04 actors, 08 envs, 1 prefetchers, 1 inferencers, 02 storers"
617,304.6221356391907,197440.0,658.0,648.0,2.0,16.0,2.0,1.0,2.0,1.0,32.0,"02 actors, 16 envs, 2 prefetchers, 1 inferencers, 02 storers"
617,304.29549288749695,197440.0,659.0,648.0,4.0,8.0,2.0,1.0,1.0,1.0,32.0,"04 actors, 08 envs, 2 prefetchers, 1 inferencers, 01 storers"
