,runtime,training_steps,i_fps,t_fps,actors,exp_name,envs,prefetchers,inferencers,storers,used_gpus,total_envs,setup
634,226.5155916213989,197120.0,885.0,870.0,2.0,a_02_p_1_i_1_n_32_s_02,32,1,1,2,1,64,"02 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
626,227.95946598052976,197120.0,882.0,864.0,2.0,a_02_p_2_i_1_n_32_s_02,32,2,1,2,1,64,"02 actors, 32 envs, 2 prefetchers, 1 inferencers, 02 storers"
615,228.03507590293884,197120.0,869.0,864.0,2.0,a_02_p_1_i_1_n_16_s_02,16,1,1,2,1,32,"02 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
646,228.22885632514956,197120.0,902.0,863.0,4.0,a_04_p_2_i_1_n_64_s_02,64,2,1,2,1,256,"04 actors, 64 envs, 2 prefetchers, 1 inferencers, 02 storers"
617,228.45972061157227,197120.0,875.0,862.0,2.0,a_02_p_1_i_1_n_32_s_03,32,1,1,3,1,64,"02 actors, 32 envs, 1 prefetchers, 1 inferencers, 03 storers"
646,228.6332950592041,197120.0,900.0,862.0,4.0,a_04_p_1_i_1_n_64_s_02,64,1,1,2,1,256,"04 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
636,230.1681752204895,197120.0,893.0,856.0,4.0,a_04_p_1_i_1_n_32_s_02,32,1,1,2,1,128,"04 actors, 32 envs, 1 prefetchers, 1 inferencers, 02 storers"
636,230.79165601730347,197120.0,891.0,854.0,2.0,a_02_p_1_i_1_n_64_s_02,64,1,1,2,1,128,"02 actors, 64 envs, 1 prefetchers, 1 inferencers, 02 storers"
636,231.18298768997192,197120.0,890.0,852.0,2.0,a_02_p_2_i_1_n_64_s_02,64,2,1,2,1,128,"02 actors, 64 envs, 2 prefetchers, 1 inferencers, 02 storers"
619,231.1187925338745,197120.0,869.0,852.0,4.0,a_04_p_1_i_1_n_16_s_02,16,1,1,2,1,64,"04 actors, 16 envs, 1 prefetchers, 1 inferencers, 02 storers"
